BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2025,February,All India,Combined,Food and Beverages,Cereals and Products,200,6.1
2012,2025,February,All India,Combined,Food and Beverages,Meat and Fish,222.6,2.11
2012,2025,February,All India,Combined,Food and Beverages,Egg,196.8,-3.01
2012,2025,February,All India,Combined,Food and Beverages,Fruits,196.8,14.82
2012,2025,February,All India,Combined,Food and Beverages,Vegetables,193.4,-1.07
2012,2025,February,All India,Combined,Food and Beverages,Pulses and Products,201.9,-0.35
2012,2025,February,All India,Combined,Food and Beverages,Spices,223.9,-5.85
2012,2025,February,All India,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",207.7,4.16
2012,2025,February,All India,Combined,Food and Beverages,Non-alcoholic Beverages,183.7,3.73
2012,2025,February,All India,Combined,Food and Beverages,*,197.6,3.84
2012,2025,February,All India,Combined,"Pan, Tobacco and Intoxicants",*,210.1,2.39
2012,2025,February,All India,Combined,Clothing and Footwear,Clothing,196.8,2.77
2012,2025,February,All India,Combined,Clothing and Footwear,Footwear,186.7,2.02
2012,2025,February,All India,Combined,Clothing and Footwear,*,195.4,2.68
2012,2025,February,All India,Combined,Fuel and Light,*,178.3,-1.33
2012,2025,February,All India,Combined,Miscellaneous,Household Goods and Services,183.7,2.86
2012,2025,February,All India,Combined,Miscellaneous,Health,199.6,4.12
2012,2025,February,All India,Combined,Miscellaneous,Transport and Communication,171.8,2.87
2012,2025,February,All India,Combined,Miscellaneous,Education,190,3.83
2012,2025,February,All India,Combined,Miscellaneous,*,188.4,4.78
2012,2025,February,All India,Rural,Food and Beverages,Cereals and Products,200.6,6.36
2012,2025,February,All India,Rural,Food and Beverages,Meat and Fish,219.2,2.05
2012,2025,February,All India,Rural,Food and Beverages,Egg,194.8,-3.42
2012,2025,February,All India,Rural,Food and Beverages,Fruits,195,15.25
2012,2025,February,All India,Rural,Food and Beverages,Vegetables,181.3,0.83
2012,2025,February,All India,Rural,Food and Beverages,Pulses and Products,200.2,-0.3
2012,2025,February,All India,Rural,Food and Beverages,Spices,224.9,-6.56
2012,2025,February,All India,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",202.4,3.58
2012,2025,February,All India,Rural,Food and Beverages,Non-alcoholic Beverages,188.3,3.35
2012,2025,February,All India,Rural,Food and Beverages,*,195.4,4.05
2012,2025,February,All India,Rural,"Pan, Tobacco and Intoxicants",*,209,2.6
2012,2025,February,All India,Rural,Clothing and Footwear,Clothing,200.7,2.71
2012,2025,February,All India,Rural,Clothing and Footwear,Footwear,194.1,1.68
2012,2025,February,All India,Rural,Clothing and Footwear,*,199.8,2.57
2012,2025,February,All India,Rural,Fuel and Light,*,182.8,-0.54
2012,2025,February,All India,Rural,Miscellaneous,Household Goods and Services,187.7,2.4
2012,2025,February,All India,Rural,Miscellaneous,Health,201.6,4.02
2012,2025,February,All India,Rural,Miscellaneous,Transport and Communication,177.7,3.19
2012,2025,February,All India,Rural,Miscellaneous,Education,192.6,3.55
2012,2025,February,All India,Rural,Miscellaneous,*,192.8,4.9
2012,2025,February,All India,Urban,Food and Beverages,Cereals and Products,198.6,5.47
2012,2025,February,All India,Urban,Food and Beverages,Meat and Fish,228.9,2.23
2012,2025,February,All India,Urban,Food and Beverages,Egg,200,-2.3
2012,2025,February,All India,Urban,Food and Beverages,Fruits,198.8,14.25
2012,2025,February,All India,Urban,Food and Beverages,Vegetables,217,-4.02
2012,2025,February,All India,Urban,Food and Beverages,Pulses and Products,205.2,-0.39
2012,2025,February,All India,Urban,Food and Beverages,Spices,222,-4.31
2012,2025,February,All India,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",213.9,4.85
2012,2025,February,All India,Urban,Food and Beverages,Non-alcoholic Beverages,177.2,4.3
2012,2025,February,All India,Urban,Food and Beverages,*,201.3,3.44
2012,2025,February,All India,Urban,"Pan, Tobacco and Intoxicants",*,213.2,1.77
2012,2025,February,All India,Urban,Clothing and Footwear,Clothing,190.8,2.86
2012,2025,February,All India,Urban,Clothing and Footwear,Footwear,176.2,2.44
2012,2025,February,All India,Urban,Clothing and Footwear,*,188.6,2.84
2012,2025,February,All India,Urban,Fuel and Light,*,171,-2.62
2012,2025,February,All India,Urban,Miscellaneous,Household Goods and Services,179.2,3.4
2012,2025,February,All India,Urban,Miscellaneous,Health,196.2,4.2
2012,2025,February,All India,Urban,Miscellaneous,Transport and Communication,166.5,2.59
2012,2025,February,All India,Urban,Miscellaneous,Education,188.2,4.04
2012,2025,February,All India,Urban,Miscellaneous,*,183.7,4.67
2012,2025,February,Andaman and Nicobar Islands,Combined,Food and Beverages,*,206.5,1.08
2012,2025,February,Andaman and Nicobar Islands,Combined,"Pan, Tobacco and Intoxicants",*,211.4,0
2012,2025,February,Andaman and Nicobar Islands,Combined,Clothing and Footwear,*,183.1,2.58
2012,2025,February,Andaman and Nicobar Islands,Combined,Fuel and Light,*,163,4.89
2012,2025,February,Andaman and Nicobar Islands,Combined,Miscellaneous,*,179.5,4.6
2012,2025,February,Andaman and Nicobar Islands,Rural,Food and Beverages,*,212.1,0.14
2012,2025,February,Andaman and Nicobar Islands,Rural,"Pan, Tobacco and Intoxicants",*,203.3,-2.68
2012,2025,February,Andaman and Nicobar Islands,Rural,Clothing and Footwear,*,197.5,3.19
2012,2025,February,Andaman and Nicobar Islands,Rural,Fuel and Light,*,158,7.19
2012,2025,February,Andaman and Nicobar Islands,Rural,Miscellaneous,*,188.8,3
2012,2025,February,Andaman and Nicobar Islands,Urban,Food and Beverages,*,198.6,2.53
2012,2025,February,Andaman and Nicobar Islands,Urban,"Pan, Tobacco and Intoxicants",*,233.7,6.96
2012,2025,February,Andaman and Nicobar Islands,Urban,Clothing and Footwear,*,165.8,1.59
2012,2025,February,Andaman and Nicobar Islands,Urban,Fuel and Light,*,170,2.1
2012,2025,February,Andaman and Nicobar Islands,Urban,Miscellaneous,*,172.3,6.03
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Cereals and Products,197.8,1.12
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Meat and Fish,224.2,-5.72
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Egg,218.7,-6.94
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Fruits,199.1,10.67
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Vegetables,196.6,1.65
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Pulses and Products,203.3,-5.18
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Spices,220.4,-6.09
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",201,3.34
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Non-alcoholic Beverages,204.6,2.76
2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,*,199.5,1.01
2012,2025,February,Andhra Pradesh,Combined,"Pan, Tobacco and Intoxicants",*,212.1,7.01
2012,2025,February,Andhra Pradesh,Combined,Clothing and Footwear,Clothing,203.2,2.06
2012,2025,February,Andhra Pradesh,Combined,Clothing and Footwear,Footwear,175.1,-0.57
