,BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
0,2012,2025,February,All India,Combined,Food and Beverages,Cereals and Products,200,6.1
1,2012,2025,February,All India,Combined,Food and Beverages,Meat and Fish,222.6,2.11
2,2012,2025,February,All India,Combined,Food and Beverages,Egg,196.8,-3.01
3,2012,2025,February,All India,Combined,Food and Beverages,Fruits,196.8,14.82
4,2012,2025,February,All India,Combined,Food and Beverages,Vegetables,193.4,-1.07
5,2012,2025,February,All India,Combined,Food and Beverages,Pulses and Products,201.9,-0.35
6,2012,2025,February,All India,Combined,Food and Beverages,Spices,223.9,-5.85
7,2012,2025,February,All India,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",207.7,4.16
8,2012,2025,February,All India,Combined,Food and Beverages,Non-alcoholic Beverages,183.7,3.73
9,2012,2025,February,All India,Combined,Food and Beverages,Residual,197.6,3.84
10,2012,2025,February,All India,Combined,"Pan, Tobacco and Intoxicants",Residual,210.1,2.39
11,2012,2025,February,All India,Combined,Clothing and Footwear,Clothing,196.8,2.77
12,2012,2025,February,All India,Combined,Clothing and Footwear,Footwear,186.7,2.02
13,2012,2025,February,All India,Combined,Clothing and Footwear,Residual,195.4,2.68
14,2012,2025,February,All India,Combined,Fuel and Light,Residual,178.3,-1.33
15,2012,2025,February,All India,Combined,Miscellaneous,Household Goods and Services,183.7,2.86
16,2012,2025,February,All India,Combined,Miscellaneous,Health,199.6,4.12
17,2012,2025,February,All India,Combined,Miscellaneous,Transport and Communication,171.8,2.87
18,2012,2025,February,All India,Combined,Miscellaneous,Education,190,3.83
19,2012,2025,February,All India,Combined,Miscellaneous,Residual,188.4,4.78
20,2012,2025,February,All India,Rural,Food and Beverages,Cereals and Products,200.6,6.36
21,2012,2025,February,All India,Rural,Food and Beverages,Meat and Fish,219.2,2.05
22,2012,2025,February,All India,Rural,Food and Beverages,Egg,194.8,-3.42
23,2012,2025,February,All India,Rural,Food and Beverages,Fruits,195,15.25
24,2012,2025,February,All India,Rural,Food and Beverages,Vegetables,181.3,0.83
25,2012,2025,February,All India,Rural,Food and Beverages,Pulses and Products,200.2,-0.3
26,2012,2025,February,All India,Rural,Food and Beverages,Spices,224.9,-6.56
27,2012,2025,February,All India,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",202.4,3.58
28,2012,2025,February,All India,Rural,Food and Beverages,Non-alcoholic Beverages,188.3,3.35
29,2012,2025,February,All India,Rural,Food and Beverages,Residual,195.4,4.05
30,2012,2025,February,All India,Rural,"Pan, Tobacco and Intoxicants",Residual,209,2.6
31,2012,2025,February,All India,Rural,Clothing and Footwear,Clothing,200.7,2.71
32,2012,2025,February,All India,Rural,Clothing and Footwear,Footwear,194.1,1.68
33,2012,2025,February,All India,Rural,Clothing and Footwear,Residual,199.8,2.57
34,2012,2025,February,All India,Rural,Fuel and Light,Residual,182.8,-0.54
35,2012,2025,February,All India,Rural,Miscellaneous,Household Goods and Services,187.7,2.4
36,2012,2025,February,All India,Rural,Miscellaneous,Health,201.6,4.02
37,2012,2025,February,All India,Rural,Miscellaneous,Transport and Communication,177.7,3.19
38,2012,2025,February,All India,Rural,Miscellaneous,Education,192.6,3.55
39,2012,2025,February,All India,Rural,Miscellaneous,Residual,192.8,4.9
40,2012,2025,February,All India,Urban,Food and Beverages,Cereals and Products,198.6,5.47
41,2012,2025,February,All India,Urban,Food and Beverages,Meat and Fish,228.9,2.23
42,2012,2025,February,All India,Urban,Food and Beverages,Egg,200,-2.3
43,2012,2025,February,All India,Urban,Food and Beverages,Fruits,198.8,14.25
44,2012,2025,February,All India,Urban,Food and Beverages,Vegetables,217,-4.02
45,2012,2025,February,All India,Urban,Food and Beverages,Pulses and Products,205.2,-0.39
46,2012,2025,February,All India,Urban,Food and Beverages,Spices,222,-4.31
47,2012,2025,February,All India,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",213.9,4.85
48,2012,2025,February,All India,Urban,Food and Beverages,Non-alcoholic Beverages,177.2,4.3
49,2012,2025,February,All India,Urban,Food and Beverages,Residual,201.3,3.44
50,2012,2025,February,All India,Urban,"Pan, Tobacco and Intoxicants",Residual,213.2,1.77
